City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Temp_C,Wind KmH
136,morshansk,53.4435,41.8107,290.22,88,84,2.42,RU,1684988581,17.07000000000005,8.712
137,chonchi,-42.6128,-73.8092,281.71,81,84,6.19,CL,1684988216,8.560000000000002,22.284000000000002
138,arkhipo-osipovka,44.37,38.52,290.18,92,53,0.65,RU,1684988581,17.03000000000003,2.3400000000000003
139,kailua-kona,19.6406,-155.9956,300.13,80,100,6.69,US,1684988233,26.980000000000018,24.084000000000003
140,ijebu-jesa,7.6833,4.8167,295.69,99,100,1.12,NG,1684988582,22.54000000000002,4.032000000000001
141,al bawiti,28.3492,28.8659,293.73,56,3,3.72,EG,1684988582,20.58000000000004,13.392000000000001
142,puerto ayora,-0.7393,-90.3518,297.9,94,2,0.89,EC,1684988156,24.75,3.204
143,constitucion,-35.3333,-72.4167,285.34,76,100,1.14,CL,1684988456,12.189999999999998,4.104
144,canutama,-6.5339,-64.3831,296.46,99,100,0.46,BR,1684988360,23.310000000000002,1.6560000000000001
145,ancud,-41.8697,-73.8203,283.68,77,95,11.3,CL,1684988291,10.53000000000003,40.68000000000001
146,kodiak,57.79,-152.4072,279.88,76,100,4.63,US,1684988218,6.730000000000018,16.668
147,lata,40.1629,-8.3327,287.64,81,11,1.31,PT,1684988264,14.490000000000009,4.716
148,vikulovo,56.8167,70.6107,291.26,66,99,4.34,RU,1684988585,18.110000000000014,15.624
149,ushuaia,-54.8,-68.3,276.96,81,20,4.63,AR,1684987902,3.8100000000000023,16.668
150,hasaki,35.7333,140.8333,298.31,56,100,3.81,JP,1684988238,25.160000000000025,13.716000000000001
151,sao joao da barra,-21.6403,-41.0511,293.66,85,2,2.4,BR,1684988295,20.510000000000048,8.64
152,new norfolk,-42.7826,147.0587,287.87,62,50,1.34,AU,1684988321,14.720000000000027,4.824000000000001
153,wagar,16.1525,36.2032,302.82,51,1,3.36,SD,1684988586,29.670000000000016,12.096
154,kuqa,41.7278,82.9364,295.26,25,100,3.6,CN,1684988587,22.110000000000014,12.96
155,ola,59.5833,151.2833,275.59,85,100,2.44,RU,1684988161,2.4399999999999977,8.784
156,nadi,-17.8,177.4167,298.15,69,75,5.66,FJ,1684988588,25.0,20.376
157,lucapa,-8.4192,20.7447,293.09,70,9,0.63,AO,1684988589,19.939999999999998,2.2680000000000002
158,coahuayana de hidalgo,18.7,-103.6583,298.14,84,46,0.66,MX,1684988591,24.99000000000001,2.3760000000000003
159,tromso,69.6496,18.957,280.16,57,75,13.89,NO,1684988591,7.010000000000048,50.004000000000005
160,tupiza,-21.45,-65.7167,282.68,20,3,2.55,BO,1684988592,9.53000000000003,9.18
161,arkhangel'sk,64.5401,40.5433,291.69,64,20,3.59,RU,1684988592,18.54000000000002,12.924
162,kievka,50.2619,71.5514,294.55,32,8,2.94,KZ,1684988592,21.400000000000034,10.584
163,la passe,45.5549,-0.8967,285.38,84,80,6.1,FR,1684988354,12.230000000000018,21.96
164,tselina,46.5338,41.0328,291.07,87,100,2.53,RU,1684988593,17.920000000000016,9.107999999999999
